,DATE_TIME,TEMPERATURE,Dew_Point,Wind_Direction,Wind_Speed
311,2021-01-12 12:51:00,-0.6,-3.9,260.0,1.5
312,2021-01-12 13:51:00,1.7,-1.7,250.0,2.6
313,2021-01-12 14:51:00,4.4,-2.8,320.0,3.1
314,2021-01-12 15:51:00,5.6,-4.4,320.0,4.1
315,2021-01-12 16:51:00,6.7,-5.0,350.0,3.6
316,2021-01-12 17:51:00,7.2,-5.6,,
317,2021-01-12 18:51:00,7.2,-5.0,,
318,2021-01-12 19:51:00,6.7,-5.0,,
319,2021-01-12 20:51:00,5.0,-3.9,220.0,3.1
320,2021-01-12 21:51:00,2.8,-3.9,210.0,2.6
321,2021-01-12 22:51:00,3.3,-2.8,210.0,1.5
322,2021-01-12 23:51:00,2.8,-3.9,220.0,2.1
323,2021-01-13 00:51:00,2.8,-4.4,190.0,1.5
324,2021-01-13 01:51:00,2.2,-2.8,40.0,3.1
325,2021-01-13 02:51:00,2.8,-3.3,360.0,3.6
326,2021-01-13 03:51:00,1.1,-4.4,360.0,2.1
327,2021-01-13 04:51:00,0.6,-4.4,350.0,1.5
328,2021-01-13 04:59:00,,,,
329,2021-01-13 05:51:00,0.0,-3.9,340.0,2.6
330,2021-01-13 06:51:00,1.1,-2.8,320.0,1.5
331,2021-01-13 07:51:00,-1.7,-4.4,,
332,2021-01-13 08:51:00,-1.1,-2.8,250.0,1.5
333,2021-01-13 09:51:00,1.1,-1.7,270.0,2.6
334,2021-01-13 10:51:00,1.1,-3.3,,
335,2021-01-13 11:51:00,1.7,-2.2,,
336,2021-01-13 12:51:00,1.7,-2.2,220.0,2.1
337,2021-01-13 13:51:00,2.8,-1.7,,
338,2021-01-13 14:51:00,3.9,-1.7,240.0,5.1
339,2021-01-13 15:51:00,5.0,-2.8,240.0,4.6
340,2021-01-13 16:51:00,5.0,-3.3,220.0,4.1
341,2021-01-13 17:51:00,5.6,-3.9,230.0,4.1
342,2021-01-13 18:51:00,6.1,-3.3,230.0,6.7
343,2021-01-13 19:51:00,5.6,-3.9,260.0,5.7
344,2021-01-13 20:51:00,5.0,-3.9,260.0,6.7
345,2021-01-13 21:51:00,4.4,-3.3,280.0,5.1
346,2021-01-13 22:51:00,3.9,-4.4,270.0,4.1
347,2021-01-13 23:51:00,2.2,-3.9,250.0,3.1
348,2021-01-14 00:51:00,1.7,-3.3,230.0,2.6
349,2021-01-14 01:51:00,1.7,-2.2,220.0,2.1
350,2021-01-14 02:51:00,2.2,-2.2,200.0,2.6
351,2021-01-14 03:51:00,2.8,-0.6,200.0,3.6
352,2021-01-14 04:51:00,3.9,-1.1,220.0,3.6
353,2021-01-14 04:59:00,,,,
354,2021-01-14 05:51:00,2.8,-1.1,230.0,1.5
355,2021-01-14 06:51:00,1.7,-1.1,210.0,1.5
356,2021-01-14 07:51:00,0.6,-1.7,,
357,2021-01-14 08:51:00,1.1,-0.6,,
358,2021-01-14 09:51:00,1.1,-0.6,220.0,2.1
359,2021-01-14 10:51:00,1.1,-1.1,240.0,2.6
360,2021-01-14 11:51:00,2.2,0.6,220.0,1.5
361,2021-01-14 12:51:00,1.7,0.0,200.0,1.5
362,2021-01-14 13:51:00,5.0,1.7,320.0,2.1
363,2021-01-14 14:51:00,7.2,1.1,,
364,2021-01-14 15:51:00,7.8,1.1,,
365,2021-01-14 16:51:00,9.4,0.6,,
366,2021-01-14 17:51:00,7.8,1.7,200.0,2.6
367,2021-01-14 18:51:00,7.8,1.7,190.0,3.1
368,2021-01-14 19:51:00,8.3,1.7,200.0,2.1
369,2021-01-14 20:51:00,6.7,1.1,,
370,2021-01-14 21:51:00,5.0,1.1,200.0,1.5
371,2021-01-14 22:51:00,5.0,1.7,190.0,1.5
372,2021-01-14 23:51:00,3.3,1.7,110.0,1.5
373,2021-01-15 00:51:00,4.4,2.2,10.0,2.1
374,2021-01-15 01:51:00,5.0,0.0,20.0,2.6
375,2021-01-15 02:51:00,4.4,0.0,10.0,2.6
376,2021-01-15 03:51:00,3.9,0.0,360.0,2.1
377,2021-01-15 04:51:00,3.3,0.0,360.0,2.6
378,2021-01-15 04:59:00,,,,
379,2021-01-15 05:51:00,2.2,-0.6,,
380,2021-01-15 06:51:00,2.2,0.0,30.0,2.1
381,2021-01-15 07:51:00,1.7,0.0,,
382,2021-01-15 08:51:00,1.1,-1.1,360.0,2.1
383,2021-01-15 09:51:00,0.6,-1.1,30.0,3.6
384,2021-01-15 10:51:00,0.6,-1.1,50.0,2.6
385,2021-01-15 11:33:00,0.6,-0.6,50.0,2.6
386,2021-01-15 11:49:00,1.0,0.0,60.0,3.6
387,2021-01-15 11:51:00,1.7,0.0,70.0,3.6
388,2021-01-15 12:29:00,2.8,1.1,70.0,5.1
389,2021-01-15 12:51:00,2.8,1.7,50.0,5.1
390,2021-01-15 13:25:00,3.3,2.2,50.0,4.6
391,2021-01-15 13:49:00,4.0,3.0,50.0,3.6
392,2021-01-15 13:51:00,3.9,2.8,50.0,3.1
393,2021-01-15 14:49:00,5.0,3.0,60.0,5.1
394,2021-01-15 14:51:00,5.0,2.8,60.0,5.7
395,2021-01-15 15:15:00,6.1,2.8,60.0,5.7
396,2021-01-15 15:51:00,6.7,2.8,70.0,5.1
397,2021-01-15 16:49:00,8.0,3.0,70.0,6.2
398,2021-01-15 16:51:00,7.8,3.3,70.0,6.2
399,2021-01-15 17:51:00,8.3,3.3,100.0,6.2
400,2021-01-15 18:51:00,8.3,3.9,90.0,8.8
401,2021-01-15 19:44:00,7.8,3.9,90.0,8.8
402,2021-01-15 19:51:00,7.8,3.9,90.0,9.3
